Wall time,Step,Value
1687429854.1496344,1905,0.8125
1687429910.4567518,1935,0.75
1687429927.0842304,1944,0.890625
1687429934.453183,1948,0.875
1687429946.1216724,1954,0.875
1687430392.6727986,2013,0.78125
1687430454.4671314,2046,0.828125
1687430456.3073204,2047,0.84375
1687430471.1286087,2055,0.859375
1687430478.836486,2059,0.828125
1687430510.692647,2076,0.84375
1687430521.7493541,2082,0.875
1687430579.9371827,2113,0.890625
1687430630.305631,2140,0.75
1687430665.8007028,2159,0.84375
1687430725.886584,2191,0.859375
1687430727.7233155,2192,0.828125
1687430729.5717413,2193,0.84375
1687430774.6898077,2217,0.875
1687430918.4237125,2294,0.84375
1687431036.595739,2357,0.75
1687431115.2398996,2399,0.84375
1687431122.6344464,2403,0.71875
1687431204.8475113,2447,0.71875
1687431240.7175791,2466,0.828125
1687431309.8763285,2503,0.734375
1687431365.808025,2533,0.84375
1687431379.106868,2540,0.734375
1687431810.2588487,2591,0.875
1687431842.037628,2608,0.75
1687431853.5017986,2614,0.859375
1687431963.5143,2673,0.84375
1687431993.4620533,2689,0.828125
1687432004.7203565,2695,0.796875
1687432056.8877885,2723,0.765625
1687432088.5363126,2740,0.8125
1687432092.2422462,2742,0.828125
1687432152.1006691,2774,0.859375
1687432209.9329848,2805,0.859375
1687432298.302186,2852,0.828125
1687432320.4265044,2864,0.796875
1687432341.1372201,2875,0.75
1687432518.9011486,2970,0.78125
1687432588.2878094,3007,0.859375
1687432633.0225112,3031,0.75
1687432650.06642,3040,0.78125
1687432661.1925218,3046,0.84375
1687432747.8338492,3092,0.765625
1687432753.431381,3095,0.828125
1687432788.8899844,3114,0.84375
1687432824.3618407,3133,0.8125
1687433374.2664263,3246,0.8125
1687433389.0052357,3254,0.8125
1687433400.0369284,3260,0.8125
1687433518.8521297,3323,0.890625
1687433591.8473957,3362,0.78125
1687433631.6913474,3383,0.84375
1687433742.1560428,3442,0.78125
1687433766.6922565,3455,0.71875
1687433785.16613,3465,0.75
1687433793.0497177,3469,0.75
1687433880.9616592,3516,0.84375
1687434016.4240963,3588,0.84375
1687434057.610303,3610,0.875
1687434089.5132873,3627,0.859375
1687434127.0936975,3647,0.765625
1687434176.1564646,3673,0.859375
1687434239.8622582,3707,0.84375
1687434256.4580903,3716,0.828125
1687434699.3119109,3772,0.828125
1687434800.7847536,3826,0.8125
1687434849.6293824,3852,0.828125
1687434858.8402402,3857,0.8125
1687434991.6917048,3928,0.734375
1687434999.3833358,3932,0.765625
1687435059.2174046,3964,0.796875
1687435151.0200572,4013,0.703125
1687435248.2796545,4065,0.78125
1687435267.2033954,4075,0.84375
1687435269.0342054,4076,0.875
1687435315.5795062,4101,0.765625
1687435332.667695,4110,0.84375
1687435358.9959795,4124,0.859375
1687435437.520626,4166,0.796875
1687435484.543739,4191,0.84375
1687435624.6531796,4266,0.78125
1687436087.564518,4333,0.875
1687436145.8079596,4364,0.75
1687436209.6525784,4398,0.875
1687436252.7469506,4421,0.890625
1687436324.0672214,4459,0.859375
1687436333.3451984,4464,0.828125
1687436343.1433623,4469,0.90625
1687436412.8422382,4506,0.84375
1687436427.8630035,4514,0.859375
1687436454.2168558,4528,0.84375
1687436474.8971667,4539,0.890625
1687436508.5119152,4557,0.78125
1687436512.315057,4559,0.828125
1687436555.196527,4582,0.78125
1687436557.0253088,4583,0.703125
1687436559.0788887,4584,0.828125
1687436564.9316506,4587,0.8125
1687436600.672118,4606,0.828125
1687436667.1939337,4641,0.875
1687436699.3632472,4658,0.765625
1687436726.0260675,4672,0.890625
1687436765.70083,4693,0.796875
1687436784.5358036,4703,0.875
1687436799.5687563,4711,0.828125
1687436818.6958768,4721,0.8125
1687436911.4542193,4770,0.828125
1687436926.5885487,4778,0.796875
1687436934.0297194,4782,0.765625
1687436986.765343,4810,0.828125
1687437013.1926694,4824,0.796875
1687437024.2882965,4830,0.84375
1687437050.599007,4844,0.90625
1687437067.3206098,4853,0.84375
1687437080.6777513,4860,0.875
1687437082.5310955,4861,0.75
1687437089.858364,4865,0.875
1687437136.726092,4890,0.71875
1687437155.3436964,4900,0.875
1687437162.581157,4904,0.875
1687437529.297902,4920,0.84375
1687437555.6974497,4934,0.8125
1687437623.0252995,4970,0.8125
1687437637.7839808,4978,0.78125
1687437658.6247776,4989,0.828125
1687437750.8607666,5038,0.875
1687437752.6940293,5039,0.765625
1687437761.9000843,5044,0.828125
1687437812.6839786,5071,0.859375
1687437883.7060785,5109,0.859375
1687438092.1968472,5220,0.828125
1687438108.8300478,5229,0.859375
1687438138.844256,5245,0.890625
1687438144.3806026,5248,0.890625
1687438161.519127,5257,0.796875
1687438213.7128413,5285,0.828125
1687438277.5027142,5319,0.90625
1687438279.342799,5320,0.75
1687438296.3774273,5329,0.84375
1687438301.9472852,5332,0.8125
1687438375.4177725,5371,0.84375
1687438422.6178486,5396,0.84375
1687438454.3919475,5413,0.8125
1687438536.899973,5457,0.8125
1687438581.8936327,5481,0.84375
1687438960.9872305,5503,0.875
1687439013.6384883,5531,0.828125
1687439035.9111652,5543,0.875
1687439115.1806362,5585,0.828125
1687439120.7050002,5588,0.859375
1687439197.4949658,5629,0.765625
1687439212.7388651,5637,0.828125
1687439364.5026026,5718,0.8125
1687439366.6144657,5719,0.8125
1687439529.758661,5806,0.765625
1687439544.6132078,5814,0.90625
1687439629.329908,5859,0.8125
1687439741.9953167,5919,0.828125
1687439856.7628207,5980,0.859375
1687439869.6802225,5987,0.765625
1687439924.3162243,6016,0.828125
1687439993.64044,6053,0.765625
1687440025.5092497,6070,0.796875
1687440442.8002348,6112,0.890625
1687440533.0466957,6160,0.8125
